unique_name,name,bat_style,bowl_style
Yash Dayal,Yash Dayal,Right hand Bat,Left arm Medium fast
Karanveer Singh,Karanveer Singh,Right hand Bat,Legbreak Googly
Tilak Varma,Namboori Thakur Tilak Varma,Left hand Bat,Right arm Offbreak
JL Denly,Joseph Liam Denly,Right hand Bat,Legbreak
T Natarajan,Thangarasu Natarajan,Left hand Bat,Left arm Medium
SS Tiwary,Saurabh Sunil Tiwary,Left hand Bat, 
KMDN Kulasekara,Kulasekara Mudiyanselage Dinesh Nuwan Kulasekara,Right hand Bat,Right arm Fast medium
AN Ahmed,Abu Nechim Ahmed,Right hand Bat,Right arm Medium fast
HC Brook,Harry Cherrington Brook,Right hand Bat,Right arm Medium
M Klinger,Michael Klinger,Right hand Bat, 
C Madan,Chandan Madan,Right hand Bat, 
A Choudhary,Aniket Vinod Choudhary,Right hand Bat,Left arm Medium
I Malhotra,Ishan Malhotra,Right hand Bat,Right arm Medium fast
MG Bracewell,Michael Gordon Bracewell,Left hand Bat,Right arm Offbreak
RD Gaikwad,Ruturaj Dashrat Gaikwad,Right hand Bat,Right arm Offbreak
RS Bopara,Ravinder Singh Bopara,Right hand Bat,Right arm Medium
Shoaib Malik,Shoaib Malik,Right hand Bat,Right arm Offbreak
D Jansen,Duan Jansen,Right hand Bat,Left arm Fast
MA Wood,Mark Andrew Wood,Right hand Bat,Right arm Fast
PV Tambe,Pravin Vijay Tambe,Right hand Bat,Legbreak
DNT Zoysa,Demuni Nuwan Tharanga Zoysa,Left hand Bat,Left arm Fast medium
SC Ganguly,Sourav Chandidas Ganguly,Left hand Bat,Right arm Medium
AB Agarkar,Ajit Bhalchandra Agarkar,Right hand Bat,Right arm Fast
YS Chahal,Yuzvendra Singh Chahal,Right hand Bat,Legbreak Googly
KA Jamieson,Kyle Alex Jamieson,Right hand Bat,Right arm Fast medium
SK Raina,Suresh Kumar Raina,Left hand Bat,Right arm Offbreak
SB Styris,Scott Bernard Styris,Right hand Bat,Right arm Medium
Mohammad Asif,Mohammad Asif,Left hand Bat,Right arm Fast medium
Washington Sundar,Washington Sundar,Left hand Bat,Right arm Offbreak
RE van der Merwe,Roelof Erasmus van der Merwe,Right hand Bat,Slow Left arm Orthodox
MD Mishra,Mohnish Dinesh Mishra,Right hand Bat,Right arm Offbreak
Naveen-ul-Haq,Naveen-ul-Haq Murid,Right hand Bat,Right arm Medium fast
JE Taylor,Jerome Everton Taylor,Right hand Bat,Right arm Fast
KM Jadhav,Kedar Mahadav Jadhav,Right hand Bat,Right arm Offbreak
KP Pietersen,Kevin Peter Pietersen,Right hand Bat,Right arm Offbreak
BA Stokes,Benjamin Andrew Stokes,Left hand Bat,Right arm Fast medium
R Vinay Kumar,Ranganath Vinay Kumar,Right hand Bat,Right arm Medium
RJ Peterson,Robin John Peterson,Left hand Bat,Slow Left arm Orthodox
PA Reddy,Produturi Akshath Reddy,Right hand Bat,Legbreak
Shashank Singh,Shashank Singh,Right hand Bat,"Right arm Medium, Right arm Offbreak"
RV Uthappa,Robin Venu Uthappa,Right hand Bat,Right arm Medium
MK Lomror,Mahipal Krishan Lomror,Left hand Bat,Slow Left arm Orthodox
W Jaffer,Wasim Jaffer,Right hand Bat,Right arm Offbreak
KA Pollard,Kieron Adrian Pollard,Right hand Bat,Right arm Medium
A Manohar,Abhinav Manohar,Right hand Bat,Legbreak Googly
CA Pujara,Cheteshwar Arvind Pujara,Right hand Bat,Legbreak
AS Joseph,Alzarri Shaheim Joseph,Right hand Bat,Right arm Fast
Fazalhaq Farooqi,Fazalhaq Farooqi,Right hand Bat,Left arm Fast medium
A Nortje,Anrich Arno Nortje,Right hand Bat,Right arm Fast
T Shamsi,Tabraiz Shamsi,Right hand Bat,Left arm Wrist spin
SE Marsh,Shaun Edward Marsh,Left hand Bat,Slow Left arm Orthodox
